activo,franja,estrat,tp,ttl,P1_n,P1_pnl,P1_win,P1_PF,P1_DD,P2_n,P2_pnl,P2_win,P2_PF,P2_DD,P3_n,P3_pnl,P3_win,P3_PF,P3_DD
XAUUSDm,04-06,RSI2,2.0,48,418,-46.0,29.7,0.84,-55.0,236,-14.0,31.4,0.91,-35.0,224,13.0,35.3,1.09,-19.0
XAUUSDm,04-06,RSI2,2.5,24,410,-48.5,25.1,0.84,-55.0,233,-9.0,27.5,0.95,-28.5,218,2.5,28.9,1.02,-22.0
XAUUSDm,04-06,RSI2,2.5,48,410,-49.5,25.1,0.84,-56.0,233,-9.0,27.5,0.95,-28.5,218,2.5,28.9,1.02,-22.0
XAUUSDm,04-06,RSI2,3.0,24,406,-47.0,21.9,0.85,-59.0,230,-2.0,24.8,0.99,-23.0,215,9.0,26.0,1.06,-21.0
XAUUSDm,04-06,RSI2,3.0,48,406,-46.0,22.2,0.85,-58.0,230,-2.0,24.8,0.99,-23.0,215,9.0,26.0,1.06,-21.0
XAUUSDm,06-08,BREAK24,2.0,24,432,27.0,35.4,1.1,-25.0,249,-3.0,32.9,0.98,-55.0,187,15.0,35.8,1.13,-19.0
XAUUSDm,06-08,BREAK24,2.0,48,432,27.0,35.4,1.1,-25.0,249,-3.0,32.9,0.98,-55.0,187,14.0,35.8,1.12,-19.0
XAUUSDm,06-08,BREAK24,2.5,24,421,21.0,29.9,1.07,-29.5,240,-4.5,27.9,0.97,-43.5,178,30.5,33.1,1.26,-11.5
XAUUSDm,06-08,BREAK24,2.5,48,421,23.5,30.2,1.08,-29.5,240,-2.0,28.3,0.99,-43.5,178,32.0,33.7,1.27,-11.5
XAUUSDm,06-08,BREAK24,3.0,24,397,33.0,27.0,1.11,-44.0,229,13.0,26.2,1.08,-40.0,170,33.0,29.4,1.28,-13.0
XAUUSDm,06-08,BREAK24,3.0,48,397,35.0,27.2,1.12,-45.0,229,15.0,26.6,1.09,-40.0,170,38.0,30.6,1.32,-14.0
XAUUSDm,06-08,BREAK48,2.0,24,333,15.0,34.8,1.07,-22.0,173,-2.0,32.9,0.98,-35.0,140,10.0,35.7,1.11,-15.0
XAUUSDm,06-08,BREAK48,2.0,48,333,15.0,34.8,1.07,-22.0,173,-2.0,32.9,0.98,-35.0,140,10.0,35.7,1.11,-15.0
XAUUSDm,06-08,BREAK48,2.5,24,324,13.0,29.6,1.06,-25.0,165,-3.0,27.9,0.97,-25.0,133,18.5,32.3,1.21,-9.5
XAUUSDm,06-08,BREAK48,2.5,48,324,15.5,29.9,1.07,-23.5,165,-0.5,28.5,1.0,-25.0,133,21.0,33.1,1.24,-9.5
XAUUSDm,06-08,BREAK48,3.0,24,304,38.0,28.0,1.18,-23.0,158,23.0,28.5,1.21,-19.0,127,23.0,29.1,1.26,-11.0
XAUUSDm,06-08,BREAK48,3.0,48,304,40.0,28.3,1.18,-24.0,158,26.0,29.1,1.23,-19.0,127,29.0,30.7,1.33,-8.0
XAUUSDm,06-08,MOMEMA,2.0,24,879,46.0,35.0,1.08,-34.0,494,29.0,35.2,1.09,-21.0,408,1.0,33.3,1.0,-39.0
XAUUSDm,06-08,MOMEMA,2.0,48,879,48.0,35.2,1.08,-34.0,494,28.0,35.2,1.09,-21.0,408,0.0,33.3,1.0,-39.0
XAUUSDm,06-08,MOMEMA,2.5,24,826,53.0,30.3,1.09,-23.0,467,42.5,31.0,1.13,-22.0,385,18.0,29.6,1.07,-33.5
XAUUSDm,06-08,MOMEMA,2.5,48,826,59.5,30.6,1.1,-23.0,467,40.5,31.0,1.13,-22.0,385,17.5,29.9,1.06,-35.5
XAUUSDm,06-08,MOMEMA,3.0,24,786,6.0,24.9,1.01,-43.0,451,64.0,28.2,1.2,-26.0,374,6.0,24.9,1.02,-31.0
XAUUSDm,06-08,MOMEMA,3.0,48,786,12.0,25.3,1.02,-45.0,451,70.0,28.8,1.22,-23.0,374,7.0,25.4,1.03,-33.0
