entry_time,exit_time,type,entry,sl,tp,vol,pnl,result
1773293580,1773301920,buy,5146.647,5178.226974326752,5190.253061062541,0.34,10.737191271095563,-1
1773303240,1773321780,buy,5181.9785,5164.799747499358,5224.4703812516045,0.35,-6.012563375224726,-1
1773322080,1773323340,buy,5171.104,5153.8054724954245,5213.895318761439,0.34,-5.8814993515557585,-1
1773324000,1773327780,buy,5153.148,5135.636653031465,5196.471367421335,0.34,-5.953857969301826,-1
1773335040,1773341580,sell,5125.393999999999,5096.42031488682,5080.265531988091,0.33,9.56131608734916,-1
1773343380,1773347580,sell,5088.9435,5064.099846712011,5044.618433193815,0.33,8.198405585036562,-1
1773348300,1773354180,sell,5073.151999999999,5091.838396242297,5026.891009394255,0.32,-5.979646797535243,-1
1773360000,1773363660,sell,5100.0715,5117.874436787291,5056.019158031771,0.33,-5.874969139806162,-1
1773364500,1773380640,buy,5119.1005,5101.667858697515,5162.227103256212,0.34,-5.927098042844773,-1
1773380940,1773384720,buy,5102.89,5087.0217525864155,5142.105618533962,0.38,-6.02993401716225,-1
1773385980,1773389580,sell,5092.8205,5075.083201775397,5052.933032998778,0.37,6.562800343102908,-1
1773393300,1773403740,buy,5091.6865,5111.285602712876,5131.5460506286045,0.37,7.251668003764353,-1
1773404100,1773411300,buy,5107.6665,5091.660274529002,5147.227063677495,0.37,-5.922303424269367,-1
1773411600,1773413460,buy,5090.6495,5071.365325996946,5138.404935007636,0.31,-5.978093940946874,-1
1773414900,1773417420,sell,5067.271,5041.758241377482,5017.299953207195,0.29,7.3987000005302335,-1
1773432060,1773617040,sell,5019.545499999999,4979.834836589629,4970.009051978266,0.3,11.913199023111064,-1
1773619200,1773621240,sell,5003.250999999999,5025.862878761479,4947.176303096301,0.26,-5.879088477984697,-1
1773622800,1773623640,buy,5019.324,4995.805284007197,5077.665789982006,0.25,-5.8796789982006885,-1
1773626400,1773647040,buy,5016.5985,4993.558749435255,5073.742876411862,0.26,-5.99033514683375,-1
1773649380,1773656520,sell,4999.6269999999995,4981.0605711812905,4947.795332180341,0.28,5.198600069238529,-1
1773658800,1773660360,sell,4999.500499999999,5020.5352163556545,4947.368709110862,0.28,-5.889720579583482,-1
1773662520,1773664080,sell,4999.1140000000005,5020.447465187394,4946.235337031516,0.28,-5.973370252470268,-1
1773666000,1773672480,buy,5018.8985,4997.887968040277,5070.969829899307,0.28,-5.8829489487225155,-1
1773672780,1773713280,buy,4995.805,5022.956716122241,5051.302092049356,0.26,7.059446191782645,-1
1773713340,1773742020,buy,5022.263,5003.813704139704,5067.93123965074,0.32,-5.903774675294699,-1
1773743160,1773754380,sell,5007.936,5024.5819178829415,4966.776205292646,0.36,-5.992530437859059,-1
1773754680,1773761220,buy,5020.6025,5003.73556778833,5062.314830529174,0.35,-5.903426274084586,-1
